Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
Abdur Razzak,33.0,44.0,19.04,6.88,16.5,-0.07085971692904415,-0.9210888139245207,-0.5947134229809566,-0.8255539168616525,0.5676241092095214
PA van Meekeren,39.0,47.0,20.1,6.94,17.3,0.0922398039334975,-0.7416045351918411,-0.5190818516849737,-0.6290328908484472,0.4954897704146899
Mohammad Naveed,31.0,37.0,19.7,6.35,18.5,-0.451425265608308,-0.8093344516947393,-1.2627923027621335,-0.33425135182863974,0.4887382101693011
WB Rankin,47.0,53.0,21.47,6.69,19.2,0.4184388456585808,-0.5096295711694165,-0.8342133987515664,-0.16229545406708545,0.4811443174116623
NL McCullum,59.0,58.0,22.03,6.82,19.3,0.6902713804294835,-0.4148076880653592,-0.6703449942769384,-0.13773032581543448,0.47828859714680394
Imad Wasim,40.0,42.0,20.88,5.96,21.0,-0.17959273083740523,-0.6095311980111908,-1.7543975161860177,0.2798768544626261,0.47611478222429426
Rohan Mustafa,36.0,39.0,19.84,6.79,17.5,-0.3426922516999469,-0.7856289809187249,-0.7081607799249298,-0.5799026343451461,0.43275003587221345
Yuvraj Singh,31.0,28.0,17.82,7.06,15.1,-0.9407238281959329,-1.1276650592583588,-0.3678187090930102,-1.1694657123847614,0.4310564131350494
Shadab Khan,36.0,46.0,20.6,6.99,17.6,0.037873296979316955,-0.6569421395632189,-0.4560555422716554,-0.5553375060934951,0.4265521212269216
MRJ Watt,33.0,45.0,20.06,7.22,16.6,-0.016493209974863598,-0.7483775268421313,-0.16613451897039064,-0.8009887886100014,0.42475190611191493
Mohammad Hafeez,67.0,54.0,22.7,6.58,20.6,0.47280535261276135,-0.3013600779230057,-0.9728712794608677,0.18161634145602396,0.39135509213515274
KMDN Kulasekara,58.0,66.0,23.18,7.45,18.6,1.125203436062928,-0.22008417811952827,0.12378650433087522,-0.3096862235769888,0.38279683335714243
Mustafizur Rahman,37.0,52.0,20.48,7.87,15.5,0.36407233870440026,-0.6772611145140883,0.6532075034027509,-1.0712051993781588,0.3648327872984741
SCJ Broad,55.0,65.0,22.93,7.62,18.0,1.0708369291087474,-0.2624153759338394,0.33807595633615817,-0.4570769930868929,0.3630633354483304
PM Seelaar,58.0,53.0,22.45,6.89,19.5,0.4184388456585808,-0.34369127573731684,-0.5821081610982931,-0.08860006931213339,0.35820958795158103
Aizaz Khan,30.0,34.0,20.35,6.96,17.5,-0.6145247864708496,-0.69927333737753,-0.49387132791964683,-0.5799026343451461,0.28963062829286834
R Ashwin,46.0,52.0,22.94,6.97,19.7,0.36407233870440026,-0.26072212802126665,-0.4812660660369834,-0.03946981280883229,0.2863825863928706
AR Cusack,33.0,35.0,20.4,7.06,17.3,-0.5601582795166691,-0.6908070978146682,-0.3678187090930102,-0.6290328908484472,0.2818751045598641
T van der Gugten,38.0,40.0,21.17,7.12,17.8,-0.28832574474576633,-0.5604270085465894,-0.2921871377970273,-0.506207249590194,0.26762391279701114
MG Johnson,30.0,38.0,20.97,7.28,17.2,-0.39705875865412743,-0.5942919667980388,-0.09050294767440775,-0.6535980191000982,0.2353335437296043
J Botha,39.0,37.0,22.24,6.37,20.9,-0.451425265608308,-0.37924948190133834,-1.2375817789968055,0.25531172621097514,0.22752356726971518
YS Chahal,36.0,52.0,21.9,8.1,16.2,0.36407233870440026,-0.43681991092880146,0.9431285267040157,-0.8992493016166045,0.18925325613644764
Mohammad Nabi,75.0,69.0,26.65,7.16,22.3,1.2883029569254696,0.36747284754311005,-0.2417660902663724,0.5992235217340846,0.14084316947866185
TG Southee,64.0,75.0,26.05,8.36,18.6,1.6145019986505529,0.2658779727887637,1.2708653356532718,-0.3096862235769888,0.09686122844637655
SR Watson,49.0,48.0,24.72,7.65,19.3,0.14660631088767806,0.040676000416628166,0.37589174198414965,-0.13773032581543448,-0.03305777642441632
CJ Jordan,43.0,54.0,24.07,8.58,16.8,0.47280535261276135,-0.06938511390058053,1.5481810970718743,-0.7518585321067004,-0.06353302461295801
Shoaib Malik,46.0,28.0,23.0,7.15,19.2,-0.9407238281959329,-0.2505626405458322,-0.25437135214903583,-0.16229545406708545,-0.06837359535849485
