Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
Amir Hamza,31.0,40.0,25.4,3.92,38.8,-0.6814100902797819,-0.8996411316639574,-1.4501579269373428,-0.43292245579169125,0.5253278560283023
MC Snedden,90.0,114.0,28.39,4.29,39.6,0.28758716441895754,-0.6078575736250067,-0.8198280319825912,-0.36000598860760763,0.5188196896585408
PR Reiffel,92.0,106.0,29.2,3.92,44.6,0.18283070445152624,-0.5288125294739868,-1.4501579269373428,0.09572193129291257,0.5165198073924858
AJ Hall,78.0,95.0,26.47,4.51,35.1,0.0387905719963082,-0.7952236042052025,-0.4450372836311179,-0.7701611165180758,0.5123031440876761
AR Cusack,52.0,63.0,23.96,4.63,31.0,-0.380235267873417,-1.0401656545991038,-0.24060596634849563,-1.1438580108365026,0.5110985909776713
A Mishra,34.0,64.0,23.6,4.72,29.9,-0.3671407103774881,-1.0752967853328905,-0.08728247838652932,-1.244118153214617,0.5098891766391372
MR Whitney,38.0,46.0,27.15,3.55,45.7,-0.6028427453042086,-0.7288648017080499,-2.0804878218920946,0.19598207367102713,0.5026319511562273
MS Kasprowicz,42.0,67.0,24.98,4.51,33.2,-0.32785703788970133,-0.940627450853375,-0.4450372836311179,-0.9433377260802733,0.5002863556687662
PL Taylor,80.0,97.0,28.24,4.17,40.5,0.06497968698816603,-0.6224955447640846,-1.0242593492652134,-0.2779749630255141,0.4974273860107446
AD Mullally,49.0,63.0,27.42,3.84,42.8,-0.380235267873417,-0.7025164536577095,-1.5864454717924243,-0.0683401198712751,0.494266694361998
RM Hogg,67.0,85.0,28.44,3.94,43.2,-0.09215500296298093,-0.6029782499119807,-1.4160860407235725,-0.03188188627923297,0.4896977934879513
GI Allott,31.0,52.0,23.21,4.73,29.3,-0.5242754003286351,-1.1133555102944928,-0.07024653527964299,-1.2988055036026793,0.489533037212045
BKV Prasad,160.0,196.0,32.3,4.67,41.4,1.3613408790851285,-0.22629445926637945,-0.17246219392095488,-0.19594393744342062,0.48901036742897086
Kuldeep Yadav,54.0,99.0,24.79,4.98,29.8,0.09116880198002385,-0.9591688809628737,0.3556520423924863,-1.2532327116126274,0.48697958804075964
GR Dilley,36.0,48.0,26.89,3.79,42.5,-0.5766536303123507,-0.7542372850157846,-1.67162518732685,-0.09568379506530605,0.4862231592738974
SP O'Donnell,87.0,108.0,28.72,4.27,40.2,0.20901981944338408,-0.5756540371190357,-0.8538999181963624,-0.3053186382195451,0.48597310324458176
GF Lawson,79.0,88.0,29.45,3.65,48.3,-0.052871330475194184,-0.5044159109088572,-1.9101283908232425,0.43296059201929715,0.4821780948094021
TM Odoyo,129.0,145.0,29.89,4.6,38.9,0.6935184467927539,-0.4614778622342289,-0.29171379566915157,-0.42380789739368074,0.4676295005224538
GP Swann,76.0,104.0,27.76,4.54,36.6,0.1566415894596684,-0.6693370524091333,-0.39392945431046195,-0.6334427405479198,0.46333770918179584
MF Maharoof,105.0,135.0,28.06,4.89,34.3,0.5625728718334647,-0.640061110130978,0.2023285544305185,-0.8430775837021595,0.46084575280902096
Umar Gul,128.0,179.0,29.34,5.19,33.8,1.138733401654337,-0.5151504230775141,0.713406847637075,-0.8886503756922115,0.4572818381967469
A Nel,76.0,106.0,27.68,4.63,35.8,0.18283070445152624,-0.677143970349975,-0.24060596634849563,-0.7063592077320034,0.45173496222050014
JR Hazlewood,43.0,72.0,25.15,4.73,31.8,-0.2623842504100568,-0.9240377502290871,-0.07024653527964299,-1.0709415436524192,0.4507103946877731
DJ Bravo,150.0,199.0,29.51,5.41,32.7,1.4006245515729152,-0.4985607224532258,1.0881975959885484,-0.9889105180703254,0.44997454902697953
Mohammed Shami,72.0,136.0,25.0,5.5,27.2,0.5756674293293936,-0.9386757213681647,1.2415210839505146,-1.490211229960898,0.4407583241769854
C White,50.0,65.0,26.55,4.38,36.3,-0.35404615288155916,-0.7874166862643608,-0.666504544020625,-0.6607864157419514,0.44016537328634453
CL Cairns,186.0,201.0,32.8,4.84,40.6,1.426813666564773,-0.17750122213612016,0.11714883889609294,-0.2688604046275036,0.43900661360807597
CRD Fernando,141.0,187.0,30.2,5.2,34.7,1.2434898616217682,-0.43122605521346824,0.7304427907439597,-0.8066193501101173,0.43772311905034855
AR Caddick,53.0,69.0,28.47,4.01,42.5,-0.3016679228978435,-0.6000506556841654,-1.2968344389753765,-0.09568379506530605,0.42272524170675113
S Lee,43.0,48.0,25.93,4.37,35.5,-0.5766536303123507,-0.8479203003058824,-0.6835404871275098,-0.7337028829260344,0.42212751001176896
K Rabada,73.0,117.0,27.34,4.99,32.8,0.3268708369067443,-0.7103233715985513,0.37268798549937115,-0.9797959596723155,0.41107554566955995
Mushtaq Ahmed,142.0,161.0,33.29,4.26,46.8,0.9030313667276164,-0.1296838497484659,-0.8709358613032472,0.2962422160491411,0.40185221543254707
IK Pathan,118.0,173.0,29.72,5.26,33.8,1.0601660566787634,-0.4780675628585172,0.8326584493852701,-0.8886503756922115,0.3985563864610555
SCJ Broad,121.0,178.0,30.13,5.26,34.3,1.125638844158408,-0.43805710841170453,0.8326584493852701,-0.8430775837021595,0.3935287717217505
GS Chappell,67.0,72.0,29.12,4.04,43.1,-0.2623842504100568,-0.5366194474148281,-1.2457266096547206,-0.0409964446772435,0.3902395628341839
WB Rankin,71.0,104.0,27.81,4.82,34.6,0.1566415894596684,-0.6644577286961076,0.08307695268232333,-0.8157339085081279,0.38843906849539517
SR Waugh,207.0,195.0,34.67,4.56,45.5,1.3482463215891995,0.0049854847310499845,-0.35985756809669234,0.17775295687500609,0.381341362019959
S Madan Lal,64.0,73.0,29.27,4.05,43.3,-0.24928969291412786,-0.5219814762757504,-1.2286906665478359,-0.022767327881223078,0.3810374444476704
Mudassar Nazar,104.0,111.0,30.91,4.24,43.7,0.2483034919311708,-0.36193965848849996,-0.9050077475170168,0.013690905710819056,0.37538999805646717
DNT Zoysa,93.0,108.0,29.75,4.52,39.4,0.20901981944338408,-0.4751399686307015,-0.42800134052423305,-0.3782351054036287,0.3725990585004868
VC Drakes,34.0,51.0,25.35,4.73,32.1,-0.537369957824564,-0.904520455376983,-0.07024653527964299,-1.043597868458388,0.3702487253226125
SW Tait,34.0,62.0,23.56,5.19,27.2,-0.3933298253693459,-1.0792002443033115,0.713406847637075,-1.490211229960898,0.3656687003144472
WKM Benjamin,85.0,100.0,30.79,4.15,44.4,0.10426335947595276,-0.37365003539976227,-1.0583312354789831,0.0774928144968915,0.36468795396445164
RN ten Doeschate,33.0,55.0,24.12,5.03,28.7,-0.4849917278408483,-1.024551818717421,0.4408317579269119,-1.3534928539907418,0.3630552967351006
AG Cremer,95.0,119.0,30.22,4.61,39.3,0.3530599518986021,-0.4292743257282579,-0.27467785256226523,-0.38734966380163927,0.3610904484976911
KMDN Kulasekara,181.0,199.0,33.92,4.9,41.5,1.4006245515729152,-0.06820437096433894,0.21936449753740483,-0.18682937904541008,0.3590734510113148
SR Watson,163.0,168.0,31.79,4.95,38.4,0.9946932691991188,-0.27606356113924374,0.3045442130718304,-0.46938068938373273,0.3588983266625662
BL Cairns,75.0,89.0,30.52,4.06,45.1,-0.039776772979265275,-0.39999838345010225,-1.211654723440951,0.14129472328296458,0.3576454026572058
UDU Chandana,136.0,151.0,31.9,4.7,40.6,0.7720857917683273,-0.26532904897058673,-0.12135436460029893,-0.2688604046275036,0.3569074024916792
HA Gomes,36.0,41.0,25.48,4.66,32.8,-0.668315532783853,-0.8918342137231158,-0.18949813702783969,-0.9797959596723155,0.3482031944098545
AC Botha,33.0,42.0,27.0,4.36,37.1,-0.6552209752879241,-0.7435027728471275,-0.7005764302343945,-0.5878699485578678,0.34418204408786646
N Chopra,37.0,46.0,27.95,4.2,39.8,-0.6028427453042086,-0.650795622299635,-0.9731515199445576,-0.3417768718115872,0.3407203171878928
Mohammad Nabi,120.0,130.0,32.54,4.28,45.5,0.49710008435382014,-0.2028737054438548,-0.8368639750894761,0.17775295687500609,0.3397712020030363
YS Chahal,49.0,85.0,26.42,5.06,31.2,-0.09215500296298093,-0.8001029279182281,0.4919395872475663,-1.1256288940404817,0.33540930793704066
CL Hooper,203.0,193.0,36.05,4.36,49.6,1.3220572065973417,0.13965481921056516,-0.7005764302343945,0.5514498511934328,0.3328822416069346
IDR Bradshaw,62.0,78.0,29.47,4.34,40.6,-0.1838169054344833,-0.5024641814236468,-0.7346483164481658,-0.2688604046275036,0.3305389992662082
PAJ DeFreitas,103.0,115.0,32.82,3.96,49.6,0.30068172191488646,-0.1755494926509095,-1.3820141545098021,0.5514498511934328,0.3266988794705413
ARC Fraser,42.0,47.0,30.04,3.54,50.8,-0.5897481878082796,-0.4468398910951512,-2.097523764998979,0.6608245519695573,0.3234477290790733
KSC de Silva,37.0,52.0,25.44,4.9,31.1,-0.5242754003286351,-0.8957376726935364,0.21936449753740483,-1.134743452438492,0.32171030681649715
PJ Cummins,58.0,96.0,27.11,5.14,31.5,0.051885129492237114,-0.7327682606784706,0.6282271321026478,-1.0982852188464505,0.3136778692286276
Mohammad Sami,85.0,121.0,29.47,4.99,35.4,0.37924906689045995,-0.5024641814236468,0.37268798549937115,-0.7428174413240449,0.31296067603469513
W Watson,61.0,74.0,30.36,4.14,43.9,-0.23619513541819898,-0.4156122193317852,-1.0753671785858694,0.03192002250683947,0.30571605999815404
AR Border,87.0,73.0,28.36,4.66,36.4,-0.24928969291412786,-0.6107851678528223,-0.18949813702783969,-0.6516718573439408,0.30066636732761876
CZ Harris,232.0,203.0,37.5,4.28,52.5,1.4530027815566307,0.28115520688831735,-0.8368639750894761,0.8157720447357344,0.29823487625551376
HA Varaiya,60.0,68.0,30.11,4.16,43.3,-0.3147624803937724,-0.44000883789691486,-1.0412952923720984,-0.022767327881223078,0.29732724443911596
S Elworthy,37.0,44.0,28.06,4.35,38.6,-0.6290318602960664,-0.640061110130978,-0.7176123733412809,-0.4511515725877117,0.2949482989409761
JE Emburey,61.0,76.0,30.86,4.1,45.0,-0.21000602042634114,-0.366818982201526,-1.1435109510134103,0.13218016488495404,0.29203593697591024
M Dillon,107.0,130.0,32.44,4.61,42.1,0.49710008435382014,-0.2126323528699068,-0.27467785256226523,-0.13214202865734753,0.2791380796108349
R Rampaul,88.0,117.0,29.35,5.1,34.4,0.3268708369067443,-0.5141745583349088,0.560083359675107,-0.8339630253041489,0.2787312652176737
RMH Binny,67.0,77.0,29.35,4.58,38.4,-0.19691146293041223,-0.5141745583349088,-0.3257856818829212,-0.46938068938373273,0.2781073666677876
CC Lewis,49.0,66.0,29.42,4.43,39.7,-0.34095159538563025,-0.5073435051366725,-0.5813248284861994,-0.3508914302095971,0.2746520421117097
Mirwais Ashraf,45.0,46.0,29.56,4.06,43.6,-0.6028427453042086,-0.4936813987402002,-1.211654723440951,0.004576347312808523,0.2744792573910335
JE Taylor,88.0,128.0,29.53,5.22,33.9,0.4709109693619623,-0.4966089929680155,0.7645146769577293,-0.8795358172942009,0.27063527566661233
CPH Ramanayake,62.0,68.0,30.13,4.29,42.1,-0.3147624803937724,-0.43805710841170453,-0.8198280319825912,-0.13214202865734753,0.26881617216446774
JC Tredwell,44.0,60.0,27.76,4.75,35.0,-0.41951894036120374,-0.6693370524091333,-0.03617464906587337,-0.7792756749160864,0.26631710900747235
A Nehra,120.0,157.0,31.72,5.19,36.6,0.8506531367439008,-0.28289461433748003,0.713406847637075,-0.6334427405479198,0.26339591099805637
KAJ Roach,90.0,124.0,30.34,5.06,35.9,0.41853273937824664,-0.41756394881699554,0.4919395872475663,-0.6972446493339929,0.2603504375704172
Maninder Singh,57.0,66.0,31.3,3.95,47.4,-0.34095159538563025,-0.3238809335268977,-1.3990500976166869,0.35092956643720363,0.25776246733018765
MG Hughes,33.0,38.0,29.34,4.08,43.1,-0.7075992052716398,-0.5151504230775141,-1.17758283722718,-0.0409964446772435,0.25653262492757445
MJ Henry,50.0,92.0,26.48,5.4,29.3,-0.0004931004914785359,-0.7942477394625972,1.0711616528816634,-1.2988055036026793,0.2553496224230336
R Ashwin,109.0,150.0,32.91,4.91,40.1,0.7589912342723983,-0.16676670996746318,0.23640044064428964,-0.31443319661755564,0.25094767505328186
PJ Ongondo,79.0,78.0,30.12,4.54,39.7,-0.1838169054344833,-0.43903297315430956,-0.39392945431046195,-0.3508914302095971,0.25000923805997133
Mudassar Bukhari,46.0,57.0,28.08,4.71,35.7,-0.4588026128489905,-0.6381093806457677,-0.10431842149341412,-0.7154737661300132,0.24977473885505114
ST Finn,67.0,102.0,29.37,5.06,34.8,0.13045247446781058,-0.5122228288496985,0.4919395872475663,-0.7975047917121074,0.23706012694551254
Mohammad Amir,60.0,81.0,29.62,4.77,37.1,-0.14453323294669657,-0.48782621028456885,-0.00210276285210375,-0.5878699485578678,0.23331642218696097
AC Dale,30.0,32.0,30.59,3.68,49.8,-0.7861665502472133,-0.39316733025186595,-1.8590205615025865,0.5696789679894532,0.2240855933794465
IJ Harvey,70.0,85.0,30.31,4.71,38.5,-0.09215500296298093,-0.42049154304481123,-0.10431842149341412,-0.4602661309857222,0.2232302731402417
DS Lehmann,62.0,52.0,27.78,4.83,34.4,-0.5242754003286351,-0.6673853229239229,0.10011289578920814,-0.8339630253041489,0.21924001302755716
SM Sharif,44.0,64.0,27.75,5.0,33.2,-0.3671407103774881,-0.6703129171517387,0.38972392860625593,-0.9433377260802733,0.214196501062067
SR Clark,38.0,53.0,27.86,4.84,34.5,-0.5111808428327062,-0.6595784049830816,0.11714883889609294,-0.8248484669061383,0.2140242975401052
CK Langeveldt,71.0,100.0,29.62,5.09,34.8,0.10426335947595276,-0.48782621028456885,0.5430474165682223,-0.7975047917121074,0.21163673622610168
R McLaren,51.0,77.0,27.29,5.24,31.2,-0.19691146293041223,-0.7152026953115772,0.7985865631715005,-1.1256288940404817,0.21133339081253658
LH Ferguson,36.0,67.0,25.65,5.42,28.3,-0.32785703788970133,-0.8752445130988278,1.105233539095433,-1.3899510875827834,0.2080262559241192
R Telemachus,37.0,56.0,27.94,4.89,34.2,-0.4718971703449194,-0.65177148704224,0.2023285544305185,-0.8521921421001694,0.20743447609174287
NA Foster,48.0,59.0,31.11,4.19,44.5,-0.43261349785713266,-0.34242236363639633,-0.9901874630514425,0.08660737289490203,0.20334723898395102
AC Cummins,74.0,91.0,31.61,4.58,41.3,-0.013587657987407449,-0.29362912650613704,-0.3257856818829212,-0.20505849584143115,0.2027214115607705
CH Gayle,199.0,167.0,35.48,4.78,44.4,0.9815987117031899,0.08403052888206955,0.014933180254782573,0.0774928144968915,0.2012855470173616
S Dhaniram,41.0,41.0,30.24,4.2,43.1,-0.668315532783853,-0.4273225962430476,-0.9731515199445576,-0.0409964446772435,0.19328875702024892
TJ Murtagh,57.0,74.0,30.94,4.54,40.8,-0.23619513541819898,-0.35901206426068427,-0.39392945431046195,-0.2506312878314832,0.1918444177461076
Junaid Khan,76.0,110.0,29.23,5.35,32.7,0.23520893443524188,-0.5258849352461711,0.9859819373472364,-0.9889105180703254,0.19100561260112547
GR Larsen,119.0,113.0,35.39,3.76,56.3,0.2744926069230286,0.07524774619862323,-1.7227330166475059,1.1621252638601294,0.18996315337794545
RA Harper,99.0,100.0,34.31,3.97,51.7,0.10426335947595276,-0.030145646002736642,-1.3649782114029165,0.7428555775516514,0.18913290983248865
RA Jadeja,155.0,181.0,36.19,4.89,44.3,1.1649225166461947,0.1533169256070378,0.2023285544305185,0.06837825609888096,0.18522469512743941
PA Strang,89.0,96.0,33.05,4.37,45.3,0.051885129492237114,-0.15310460357099054,-0.6835404871275098,0.159523840078985,0.1822515950279381
WK McCallan,35.0,39.0,30.97,4.01,46.2,-0.6945046477757109,-0.35608447003286897,-1.2968344389753765,0.24155486566107917,0.17921484889286385
AJ Bichel,66.0,78.0,31.57,4.53,41.7,-0.1838169054344833,-0.2975325854765577,-0.4109653974173468,-0.16860026224938904,0.17332033492720256
HMRKB Herath,67.0,74.0,31.91,4.37,43.8,-0.23619513541819898,-0.2643531842279814,-0.6835404871275098,0.022805464108828943,0.17222326795711584
MM Patel,67.0,86.0,30.26,4.95,36.6,-0.07906044546705202,-0.42537086675783686,0.3045442130718304,-0.6334427405479198,0.16880223719171855
