Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
HG Munsey,36.0,987.0,29.9,154.21,-0.17545870797156496,0.5774366248034664,2.0093000069055855,0.8037593079124956
DPMD Jayawardene,55.0,1493.0,31.76,133.18,0.762895009476295,0.8215530248712859,0.4394699397851756,0.6746393247109188
SK Raina,66.0,1605.0,29.18,134.87,0.9705938560260189,0.48293995380947197,0.5656236636764495,0.6730524911706467
DA Miller,62.0,1309.0,29.75,140.0,0.42167547585889137,0.5577498183463844,0.948563665784281,0.6426629866631856
NLTC Perera,70.0,1169.0,23.85,152.41,0.16205191767173643,-0.21659790229884834,1.874935093885293,0.606796369752727
HM Amla,44.0,1277.0,33.6,132.05,0.36233294827325596,1.063044517411494,0.35511863327799276,0.5934986996542475
AB de Villiers,75.0,1672.0,26.12,135.16,1.094842273158443,0.08132910208499543,0.5872713441074959,0.5878142397836448
MEK Hussey,30.0,721.0,37.94,136.29,-0.6687434685271593,1.6326494509030716,0.6716226506146787,0.5451762109968636
Mohammad Nabi,70.0,1316.0,22.3,145.89,0.4346566537682491,-0.42002823568869774,1.3882355200562349,0.46762131271192875
TM Dilshan,79.0,1889.0,28.19,120.54,1.497258788348533,0.3530070311927297,-0.5040703383128738,0.44873182707612963
Shahid Afridi,91.0,1416.0,17.92,150.0,0.6201020524733597,-0.9948829842354976,1.6950354047859024,0.44008482434125473
JC Buttler,58.0,1260.0,26.8,138.15,0.3308072304933871,0.170575958023768,0.8104663940689814,0.4372831941953788
CL White,44.0,984.0,32.8,132.97,-0.18102206993271827,0.9580482163070552,0.423794033266141,0.4002733932134926
Najibullah Zadran,48.0,918.0,30.6,138.46,-0.3034160330780913,0.6693083882698503,0.8336070179780318,0.3998331243899303
Yuvraj Singh,51.0,1177.0,28.02,136.38,0.17688754956814529,0.33069531720803635,0.6783408962656936,0.3953079210139584
S Dhawan,57.0,1504.0,27.85,128.21,0.7832940033338571,0.3083836032233434,0.06847348550136989,0.3867170306861901
KS Williamson,55.0,1505.0,31.35,121.76,0.7851484573209082,0.7677424205552612,-0.4130007861546761,0.37996336390716434
MDKJ Perera,42.0,1171.0,27.88,135.06,0.16576082564583866,0.31232096451475955,0.5798066267174802,0.3526294722926928
JE Root,30.0,893.0,35.72,126.3,-0.349777382754369,1.3412847153382554,-0.07410261664794061,0.3058015719786486
Umar Akmal,79.0,1690.0,26.0,122.73,1.1282224449253628,0.06557965691932956,-0.3405930274715189,0.28440302479105783
LRPL Taylor,87.0,1743.0,25.63,121.88,1.2265085062390715,0.017018867658526685,-0.4040431252866574,0.2798280828703136
RD Berrington,54.0,1247.0,28.34,128.95,0.3066993286617227,0.37269383764981173,0.12371239418748843,0.2677018534996743
KC Sangakkara,53.0,1382.0,31.4,119.55,0.5570506169136221,0.7743046893742882,-0.577971040474035,0.2511280886046251
Shaiman Anwar,32.0,971.0,33.48,126.1,-0.20512997176438266,1.0472950722458276,-0.08903205142797325,0.2510443496844905
Q de Kock,38.0,1018.0,30.84,129.35,-0.11797063437298065,0.7008072786011815,0.1535712637475537,0.24546930265858485
MN Samuels,65.0,1611.0,29.29,116.23,0.9817205799483255,0.49737694521133213,-0.8257996578225728,0.2177659557790283
GC Smith,33.0,982.0,31.67,127.53,-0.1847309779068205,0.8097409409970366,0.017713407249259117,0.21424112344649174
KJ O'Brien,83.0,1504.0,20.6,133.8,0.7832940033338571,-0.6431453755356291,0.4857511876032765,0.20863327180050148
Mohammad Hafeez,86.0,1908.0,24.46,116.12,1.5324934141025042,-0.13653822270671417,-0.8340108469515907,0.18731478148139974
Shakib Al Hasan,76.0,1567.0,23.74,123.77,0.9001246045180769,-0.23103489370070898,-0.2629599666153509,0.13537658140067227
JJ Roy,32.0,743.0,23.21,145.11,-0.6279454808120349,-0.3005949431823991,1.3300107244141104,0.13382343347322545
H Masakadza,66.0,1662.0,25.96,117.2,1.076297733287932,0.060329841864107746,-0.7533918991394156,0.12774522533754135
KJ Coetzer,56.0,1386.0,25.66,122.0,0.5644684328618266,0.02095622894994327,-0.3950854644186376,0.06344639913104408
MN Waller,31.0,613.0,26.65,138.37,-0.8690244991286787,0.15088915156668553,0.826888772327017,0.03625114158834125
Mahmudullah,76.0,1430.0,23.83,122.64,0.6460644082920752,-0.2192228098264597,-0.3473112731225338,0.026510108447693942
BN Cooper,48.0,1094.0,28.05,122.92,0.022967868642903445,0.33463267849945294,-0.3264100644304883,0.0103968275706227
F Behardien,30.0,518.0,32.37,128.21,-1.045197627898534,0.9016127044634196,0.06847348550136989,-0.02503714597791481
E Chigumbura,53.0,852.0,19.36,142.71,-0.4258099962234643,-0.8058896422475088,1.150857507053721,-0.026947377139084072
A Balbirnie,33.0,790.0,25.48,133.22,-0.5407861434206329,-0.0026679387985553207,0.44245582674118156,-0.03366608515933556
Tamim Iqbal,75.0,1613.0,23.04,116.63,0.9854294879224277,-0.32290665716709244,-0.7959407882625087,-0.04447265250239116
Ahmed Shehzad,59.0,1471.0,25.8,114.74,0.7220970217611706,0.03933058164322006,-0.9370239469338151,-0.05853211450980811
C de Grandhomme,31.0,479.0,19.95,149.22,-1.117521333393527,-0.7284548701829856,1.6368106091437757,-0.06972186481091225
Sarfaraz Ahmed,41.0,812.0,28.0,126.67,-0.4999881557055086,0.32807040968042545,-0.04648316230488028,-0.07280030277665446
KA Pollard,58.0,1058.0,23.0,129.18,-0.04379247489093639,-0.32815647222231425,0.14088124418452708,-0.07702256764290785
Fakhar Zaman,33.0,756.0,22.9,136.7,-0.6038375789803706,-0.34128100986036924,0.702227991913745,-0.0809635323089983
Misbah-ul-Haq,34.0,788.0,37.52,110.2,-0.5444950513947352,1.5775263928232421,-1.2759221164405508,-0.08096359167068123
SC Williams,38.0,821.0,24.87,130.31,-0.48329806982204865,-0.08272761839068948,0.22523255069170994,-0.11359771250700938
