Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
JP Faulkner,52.0,1032.0,34.4,104.24,-0.48711820796722755,0.7868445351427912,2.12916359594964,0.8096299743750678
CL Hooper,206.0,5761.0,35.34,76.63,1.3696638495867648,0.8729290433516822,0.12723119213416026,0.789941361690869
Haris Sohail,40.0,1614.0,46.11,85.17,-0.258603266648466,1.8592377171918422,0.746445343839492,0.7823599314609561
YK Pathan,41.0,810.0,27.0,113.6,-0.57428370104758,0.10915798115790866,2.8078339074205885,0.7809027291769723
L Ronchi,68.0,1397.0,23.67,114.5,-0.34380557294772934,-0.1958009681352884,2.8730906681389494,0.7778280423519772
GJ Bailey,85.0,3044.0,40.58,83.51,0.3028681527429929,1.3528043869842203,0.6260828740700719,0.7605851379324283
Soumya Sarkar,54.0,1728.0,33.88,98.57,-0.2138426080396364,0.7392233178357458,1.718046003423969,0.7478089044066928
RR Rossouw,35.0,1239.0,38.71,94.36,-0.40584227523014227,1.1815511632069595,1.4127893782858612,0.7294994220875595
CJ Anderson,45.0,1109.0,27.72,108.72,-0.4568851315384567,0.1750950512753566,2.4539972493032565,0.7240690563467188
CG Greenidge,127.0,5134.0,45.03,64.92,1.123480227238202,1.7603321120156703,-0.7218317723236178,0.7206601889767514
PD Collingwood,181.0,5092.0,35.36,76.98,1.1069894582770543,0.8747606286327221,0.15260882130241216,0.7114529694040628
AJ Strauss,126.0,4205.0,35.63,80.94,0.7587201233118627,0.8994870299267653,0.43973856846319764,0.6993152405672752
NLTC Perera,128.0,2210.0,19.73,111.67,-0.02459140234265515,-0.5566232685002126,2.6678944094356605,0.6955599128642642
CL Cairns,193.0,4950.0,29.46,84.26,1.0512349536941261,0.3344429707258562,0.6804635080020389,0.6887138108073404
SE Marsh,72.0,2773.0,40.77,81.41,0.19646342920796817,1.3702044471541028,0.4738170990605636,0.6801616584742115
AT Rayudu,50.0,1694.0,47.05,79.04,-0.2271922781510417,1.9453222254007325,0.3019742958355484,0.6733680810284131
A Flintoff,122.0,3394.0,32.01,88.82,0.4402912274192241,0.5679700940584844,1.0110977623083977,0.6731196945953687
DS Lehmann,101.0,3078.0,38.96,81.34,0.3162178228543982,1.2044459792199624,0.4687415732269138,0.6631351251004247
MDKJ Perera,93.0,2739.0,31.12,93.0,0.18311375909656286,0.4864645490521948,1.3141791620892276,0.6612524900793284
MN Samuels,196.0,5606.0,32.97,75.11,1.3088050593730052,0.6558861875484153,0.017019774032040698,0.6605703403178204
AJ Lamb,118.0,4010.0,39.31,75.54,0.682155838849391,1.2364987216381664,0.04819800415303562,0.6556175215468643
KJ O'Brien,130.0,3490.0,30.88,88.98,0.4779844136161332,0.4644855256797119,1.0226989642138846,0.6550563011699099
MD Crowe,140.0,4704.0,38.55,72.63,0.9546461640645466,1.1668984809586376,-0.16279885550299725,0.6529152631733955
Rizwan Cheema,32.0,764.0,24.64,111.53,-0.5923450194335989,-0.10696908200483768,2.65774335776836,0.6528097521099744
Umar Akmal,110.0,3194.0,34.34,86.04,0.3617637561756634,0.781349779299671,0.8095268792005741,0.6508801382253028
Abdul Razzaq,228.0,5080.0,29.7,81.25,1.1022778100024406,0.35642199409833875,0.4622158971550775,0.6403052337519523
MV Boucher,221.0,4686.0,28.57,84.76,0.9475786916526261,0.25293742571956623,0.7167172639566836,0.6390777937762919
