Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
MG Johnson,MG Johnson,2007-01-14,New Zealand,Commonwealth Bank Series,,Bellerive Oval,bat,Not Out,,,caught|caught
MG Johnson,MG Johnson,2007-01-19,England,Commonwealth Bank Series,,"Brisbane Cricket Ground, Woolloongabba",bat,,,,
MG Johnson,MG Johnson,2007-01-26,England,Commonwealth Bank Series,,Adelaide Oval,bat,,,,caught|caught|caught|caught
MG Johnson,MG Johnson,2007-01-28,New Zealand,Commonwealth Bank Series,,Western Australia Cricket Association Ground,bat,,,,caught
MG Johnson,MG Johnson,2007-02-04,New Zealand,Commonwealth Bank Series,,Melbourne Cricket Ground,bat,,,,
MG Johnson,MG Johnson,2007-02-16,New Zealand,Chappell-Hadlee Trophy,,Westpac Stadium,field,caught,MR Gillespie,JDP Oram,
MG Johnson,MG Johnson,2007-02-20,New Zealand,Chappell-Hadlee Trophy,,Seddon Park,bat,,,,caught|caught|caught
MG Johnson,MG Johnson,2007-09-29,India,Australia in India ODI Series,,M Chinnaswamy Stadium,bat,,,,lbw
MG Johnson,MG Johnson,2007-10-02,India,Australia in India ODI Series,,Nehru Stadium,field,,,,bowled
MG Johnson,MG Johnson,2007-10-05,India,Australia in India ODI Series,,"Rajiv Gandhi International Stadium, Uppal",bat,,,,lbw|bowled
MG Johnson,MG Johnson,2007-10-08,India,Australia in India ODI Series,,Sector 16 Stadium,bat,,,,
MG Johnson,MG Johnson,2007-10-11,India,Australia in India ODI Series,,Reliance Stadium,bat,,,,caught|lbw|caught|caught|caught
MG Johnson,MG Johnson,2007-10-14,India,Australia in India ODI Series,,Vidarbha Cricket Association Ground,bat,run out,,,caught|caught
MG Johnson,MG Johnson,2007-10-17,India,Australia in India ODI Series,,Wankhede Stadium,bat,Not Out,,,caught|caught|caught
MG Johnson,MG Johnson,2008-02-03,India,Commonwealth Bank Series,,"Brisbane Cricket Ground, Woolloongabba",bat,,,,lbw
MG Johnson,MG Johnson,2008-02-08,Sri Lanka,Commonwealth Bank Series,,Sydney Cricket Ground,bat,,,,caught
MG Johnson,MG Johnson,2008-02-10,India,Commonwealth Bank Series,,Melbourne Cricket Ground,bat,caught,S Sreesanth,RV Uthappa,lbw|caught
MG Johnson,MG Johnson,2008-02-15,Sri Lanka,Commonwealth Bank Series,,Western Australia Cricket Association Ground,bat,run out,,,bowled|caught|bowled
MG Johnson,MG Johnson,2008-02-17,India,Commonwealth Bank Series,,Adelaide Oval,bat,Not Out,,,caught|caught|caught
MG Johnson,MG Johnson,2008-02-22,Sri Lanka,Commonwealth Bank Series,,Melbourne Cricket Ground,field,Not Out,,,
MG Johnson,MG Johnson,2008-02-29,Sri Lanka,Commonwealth Bank Series,,Melbourne Cricket Ground,bat,caught,MKDI Amerasinghe,DPMD Jayawardene,caught
MG Johnson,MG Johnson,2008-03-02,India,Commonwealth Bank Series,Final,Sydney Cricket Ground,bat,Not Out,,,
MG Johnson,MG Johnson,2008-03-04,India,Commonwealth Bank Series,Final,"Brisbane Cricket Ground, Woolloongabba",bat,caught,S Sreesanth,MS Dhoni,
MG Johnson,MG Johnson,2008-06-24,West Indies,Australia in West Indies ODI Series,,"Arnos Vale Ground, Kingstown",field,Not Out,,,caught
MG Johnson,MG Johnson,2008-06-27,West Indies,Australia in West Indies ODI Series,,"National Cricket Stadium, St George's",bat,,,,caught
MG Johnson,MG Johnson,2008-06-29,West Indies,Australia in West Indies ODI Series,,"National Cricket Stadium, St George's",field,,,,caught
MG Johnson,MG Johnson,2008-07-04,West Indies,Australia in West Indies ODI Series,,"Warner Park, Basseterre",field,Not Out,,,
MG Johnson,MG Johnson,2008-07-06,West Indies,Australia in West Indies ODI Series,,"Warner Park, Basseterre",bat,,,,caught|caught|bowled|caught|caught
MG Johnson,MG Johnson,2008-08-30,Bangladesh,Bangladesh in Australia ODI Series,,Marrara Cricket Ground,field,caught and bowled,,,caught|lbw
MG Johnson,MG Johnson,2008-09-03,Bangladesh,Bangladesh in Australia ODI Series,,Marrara Cricket Ground,bat,,,,caught|lbw|caught
MG Johnson,MG Johnson,2008-09-06,Bangladesh,Bangladesh in Australia ODI Series,,Marrara Cricket Ground,bat,,,,bowled
MG Johnson,MG Johnson,2009-01-23,South Africa,South Africa in Australia ODI Series,,Sydney Cricket Ground,bat,bowled,JP Duminy,,caught
MG Johnson,MG Johnson,2009-01-26,South Africa,South Africa in Australia ODI Series,,Adelaide Oval,bat,caught,M Ntini,M Morkel,
MG Johnson,MG Johnson,2009-01-30,South Africa,South Africa in Australia ODI Series,,Western Australia Cricket Association Ground,bat,caught and bowled,,,bowled
MG Johnson,MG Johnson,2009-02-01,New Zealand,Chappell-Hadlee Trophy,,Western Australia Cricket Association Ground,bat,bowled,KD Mills,,
MG Johnson,MG Johnson,2009-02-06,New Zealand,Chappell-Hadlee Trophy,,Melbourne Cricket Ground,field,,,,caught
MG Johnson,MG Johnson,2009-02-08,New Zealand,Chappell-Hadlee Trophy,,Sydney Cricket Ground,field,caught,KD Mills,JS Patel,caught
MG Johnson,MG Johnson,2009-02-10,New Zealand,Chappell-Hadlee Trophy,,Adelaide Oval,bat,,,,caught|caught|caught
MG Johnson,MG Johnson,2009-02-13,New Zealand,Chappell-Hadlee Trophy,,"Brisbane Cricket Ground, Woolloongabba",field,,,,caught
MG Johnson,MG Johnson,2009-04-03,South Africa,Australia in South Africa ODI Series,,Kingsmead,bat,caught,DW Steyn,MV Boucher,lbw|caught
MG Johnson,MG Johnson,2009-04-05,South Africa,Australia in South Africa ODI Series,,SuperSport Park,bat,lbw,J Botha,,caught|caught
MG Johnson,MG Johnson,2009-04-09,South Africa,Australia in South Africa ODI Series,,Newlands,bat,run out,,,caught|caught|caught|bowled
MG Johnson,MG Johnson,2009-04-13,South Africa,Australia in South Africa ODI Series,,St George's Park,field,bowled,JA Morkel,,bowled|caught
MG Johnson,MG Johnson,2009-04-17,South Africa,Australia in South Africa ODI Series,,New Wanderers Stadium,field,caught and bowled,,,caught|caught|caught
MG Johnson,MG Johnson,2009-09-04,England,NatWest Series,,Kennington Oval,field,,,,hit wicket|caught|caught
MG Johnson,MG Johnson,2009-09-06,England,NatWest Series,,Lord's,field,Not Out,,,lbw|caught
MG Johnson,MG Johnson,2009-09-09,England,NatWest Series,,The Rose Bowl,bat,,,,caught|lbw
MG Johnson,MG Johnson,2009-09-12,England,NatWest Series,,Lord's,bat,,,,bowled
MG Johnson,MG Johnson,2009-09-15,England,NatWest Series,,Trent Bridge,bat,Not Out,,,caught|caught
MG Johnson,MG Johnson,2009-09-20,England,NatWest Series,,Riverside Ground,field,caught,GP Swann,JM Anderson,
MG Johnson,MG Johnson,2009-09-26,West Indies,ICC Champions Trophy,,New Wanderers Stadium,field,Not Out,,,
MG Johnson,MG Johnson,2009-09-30,Pakistan,ICC Champions Trophy,,SuperSport Park,field,bowled,Saeed Ajmal,,caught|caught
MG Johnson,MG Johnson,2009-10-02,England,ICC Champions Trophy,Semi Final,SuperSport Park,bat,,,,caught
MG Johnson,MG Johnson,2009-10-05,New Zealand,ICC Champions Trophy,Final,SuperSport Park,bat,,,,caught
MG Johnson,MG Johnson,2009-10-25,India,Australia in India ODI Series,,Reliance Stadium,bat,Not Out,,,lbw
MG Johnson,MG Johnson,2009-10-28,India,Australia in India ODI Series,,"Vidarbha Cricket Association Stadium, Jamtha",field,bowled,A Nehra,,caught|caught|caught
MG Johnson,MG Johnson,2009-10-31,India,Australia in India ODI Series,,Feroz Shah Kotla,bat,Not Out,,,bowled
MG Johnson,MG Johnson,2009-11-02,India,Australia in India ODI Series,,"Punjab Cricket Association Stadium, Mohali",field,bowled,A Nehra,,
MG Johnson,MG Johnson,2009-11-08,India,Australia in India ODI Series,,Nehru Stadium,bat,,,,bowled|bowled|caught
MG Johnson,MG Johnson,2010-01-31,Pakistan,Pakistan in Australia ODI Series,,Western Australia Cricket Association Ground,bat,caught,Naved-ul-Hasan,Sarfraz Ahmed,caught
MG Johnson,MG Johnson,2010-02-07,West Indies,West Indies in Australia ODI Series,,Melbourne Cricket Ground,field,bowled,R Rampaul,,caught
MG Johnson,MG Johnson,2010-02-09,West Indies,West Indies in Australia ODI Series,,Adelaide Oval,bat,,,,lbw
MG Johnson,MG Johnson,2010-02-12,West Indies,West Indies in Australia ODI Series,,Sydney Cricket Ground,field,caught,DR Smith,KA Pollard,
MG Johnson,MG Johnson,2010-02-14,West Indies,West Indies in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",field,Not Out,,,caught
MG Johnson,MG Johnson,2010-03-03,New Zealand,Chappell-Hadlee Trophy,,McLean Park,bat,Not Out,,,caught
MG Johnson,MG Johnson,2010-03-06,New Zealand,Chappell-Hadlee Trophy,,Eden Park,bat,Not Out,,,caught|caught|caught|bowled
MG Johnson,MG Johnson,2010-03-09,New Zealand,Chappell-Hadlee Trophy,,Seddon Park,field,,,,caught|caught|caught
MG Johnson,MG Johnson,2010-03-11,New Zealand,Chappell-Hadlee Trophy,,Eden Park,field,,,,lbw|caught
MG Johnson,MG Johnson,2010-03-13,New Zealand,Chappell-Hadlee Trophy,,Westpac Stadium,field,caught,TG Southee,JEC Franklin,caught
MG Johnson,MG Johnson,2010-11-03,Sri Lanka,Sri Lanka in Australia ODI Series,,Melbourne Cricket Ground,bat,bowled,KMDN Kulasekara,,bowled
MG Johnson,MG Johnson,2010-11-05,Sri Lanka,Sri Lanka in Australia ODI Series,,Sydney Cricket Ground,bat,run out,,,
MG Johnson,MG Johnson,2010-11-07,Sri Lanka,Sri Lanka in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",bat,,,,
MG Johnson,MG Johnson,2011-01-16,England,England in Australia ODI Series,,Melbourne Cricket Ground,bat,,,,caught|caught
MG Johnson,MG Johnson,2011-01-30,England,England in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",bat,bowled,JM Anderson,,
MG Johnson,MG Johnson,2011-02-02,England,England in Australia ODI Series,,Sydney Cricket Ground,bat,stumped,KP Pietersen,,bowled
MG Johnson,MG Johnson,2011-02-06,England,England in Australia ODI Series,,Western Australia Cricket Association Ground,bat,caught,JM Anderson,MJ Prior,caught|caught|caught
MG Johnson,MG Johnson,2011-02-21,Zimbabwe,ICC Cricket World Cup,,"Sardar Patel Stadium, Motera",bat,Not Out,,,caught|lbw|caught|caught
MG Johnson,MG Johnson,2011-02-25,New Zealand,ICC Cricket World Cup,,"Vidarbha Cricket Association Stadium, Jamtha",field,,,,caught|caught|lbw|caught
MG Johnson,MG Johnson,2011-03-05,Sri Lanka,ICC Cricket World Cup,,R Premadasa Stadium,bat,,,,
MG Johnson,MG Johnson,2011-03-13,Kenya,ICC Cricket World Cup,,M Chinnaswamy Stadium,bat,Not Out,,,
MG Johnson,MG Johnson,2011-03-16,Canada,ICC Cricket World Cup,,M Chinnaswamy Stadium,bat,,,,caught
MG Johnson,MG Johnson,2011-03-19,Pakistan,ICC Cricket World Cup,,R Premadasa Stadium,bat,caught,Abdul Razzaq,Kamran Akmal,caught
MG Johnson,MG Johnson,2011-03-24,India,ICC Cricket World Cup,Quarter Final,"Sardar Patel Stadium, Motera",bat,Not Out,,,
MG Johnson,MG Johnson,2011-04-09,Bangladesh,Australia in Bangladesh ODI Series,,Shere Bangla National Stadium,field,Not Out,,,lbw
MG Johnson,MG Johnson,2011-04-11,Bangladesh,Australia in Bangladesh ODI Series,,Shere Bangla National Stadium,bat,,,,caught|caught|caught
MG Johnson,MG Johnson,2011-04-13,Bangladesh,Australia in Bangladesh ODI Series,,Shere Bangla National Stadium,bat,caught,Mashrafe Mortaza,Imrul Kayes,bowled|caught|caught
MG Johnson,MG Johnson,2011-08-10,Sri Lanka,Australia in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,bat,,,,caught|caught|bowled|caught|caught|bowled
MG Johnson,MG Johnson,2011-08-14,Sri Lanka,Australia in Sri Lanka ODI Series,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",bat,,,,caught|lbw
MG Johnson,MG Johnson,2011-08-16,Sri Lanka,Australia in Sri Lanka ODI Series,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",field,caught,KMDN Kulasekara,LD Chandimal,lbw|caught
MG Johnson,MG Johnson,2011-08-20,Sri Lanka,Australia in Sri Lanka ODI Series,,R Premadasa Stadium,bat,,,,
MG Johnson,MG Johnson,2011-08-22,Sri Lanka,Australia in Sri Lanka ODI Series,,R Premadasa Stadium,field,bowled,SL Malinga,,caught
MG Johnson,MG Johnson,2011-10-19,South Africa,Australia in South Africa ODI Series,,SuperSport Park,field,,,,caught|caught|caught
MG Johnson,MG Johnson,2011-10-23,South Africa,Australia in South Africa ODI Series,,St George's Park,bat,bowled,J Botha,,
MG Johnson,MG Johnson,2011-10-28,South Africa,Australia in South Africa ODI Series,,Kingsmead,bat,caught,JH Kallis,MV Boucher,caught|caught
MG Johnson,MG Johnson,2012-07-01,England,NatWest Series,,Kennington Oval,bat,Not Out,,,
MG Johnson,MG Johnson,2012-08-28,Pakistan,Pakistan v Australia ODI Series,,Sharjah Cricket Stadium,bat,,,,caught
MG Johnson,MG Johnson,2012-08-31,Pakistan,Pakistan v Australia ODI Series,,Sheikh Zayed Stadium,bat,bowled,Junaid Khan,,caught
MG Johnson,MG Johnson,2012-09-03,Pakistan,Pakistan v Australia ODI Series,,Sharjah Cricket Stadium,field,Not Out,,,caught|caught
MG Johnson,MG Johnson,2013-01-11,Sri Lanka,Sri Lanka in Australia ODI Series,,Melbourne Cricket Ground,bat,,,,caught|caught
MG Johnson,MG Johnson,2013-01-18,Sri Lanka,Sri Lanka in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",bat,bowled,SL Malinga,,caught|caught|caught
MG Johnson,MG Johnson,2013-01-20,Sri Lanka,Sri Lanka in Australia ODI Series,,Sydney Cricket Ground,bat,lbw,SL Malinga,,
MG Johnson,MG Johnson,2013-01-23,Sri Lanka,Sri Lanka in Australia ODI Series,,Bellerive Oval,field,,,,caught|caught
MG Johnson,MG Johnson,2013-02-01,West Indies,West Indies in Australia ODI Series,,Western Australia Cricket Association Ground,bat,,,,
MG Johnson,MG Johnson,2013-02-03,West Indies,West Indies in Australia ODI Series,,Western Australia Cricket Association Ground,field,Not Out,,,
MG Johnson,MG Johnson,2013-02-06,West Indies,West Indies in Australia ODI Series,,Manuka Oval,bat,Not Out,,,bowled
MG Johnson,MG Johnson,2013-02-08,West Indies,West Indies in Australia ODI Series,,Sydney Cricket Ground,bat,,,,bowled|caught|caught
MG Johnson,MG Johnson,2013-02-10,West Indies,West Indies in Australia ODI Series,,Melbourne Cricket Ground,field,,,,caught|bowled|bowled
MG Johnson,MG Johnson,2013-06-08,England,ICC Champions Trophy,,Edgbaston,bat,caught,RS Bopara,EJG Morgan,
MG Johnson,MG Johnson,2013-06-12,New Zealand,ICC Champions Trophy,,Edgbaston,bat,caught,MJ McClenaghan,BB McCullum,
MG Johnson,MG Johnson,2013-06-17,Sri Lanka,ICC Champions Trophy,,Kennington Oval,field,caught,RMS Eranga,KMDN Kulasekara,lbw|caught|caught
MG Johnson,MG Johnson,2013-09-08,England,NatWest Series,,Old Trafford,field,Not Out,,,caught|caught
MG Johnson,MG Johnson,2013-09-11,England,NatWest Series,,Edgbaston,field,,,,caught
MG Johnson,MG Johnson,2013-09-14,England,NatWest Series,,Sophia Gardens,field,bowled,JC Tredwell,,
MG Johnson,MG Johnson,2013-09-16,England,NatWest Series,,The Rose Bowl,bat,caught and bowled,,,bowled|caught
MG Johnson,MG Johnson,2013-10-13,India,Australia in India ODI Series,,Maharashtra Cricket Association Stadium,bat,Not Out,,,caught
MG Johnson,MG Johnson,2013-10-16,India,Australia in India ODI Series,,Sawai Mansingh Stadium,bat,,,,
MG Johnson,MG Johnson,2013-10-19,India,Australia in India ODI Series,,"Punjab Cricket Association Stadium, Mohali",field,,,,caught|caught|caught|caught
MG Johnson,MG Johnson,2013-10-23,India,Australia in India ODI Series,,JSCA International Stadium Complex,field,stumped,R Ashwin,,
MG Johnson,MG Johnson,2013-10-30,India,Australia in India ODI Series,,"Vidarbha Cricket Association Stadium, Jamtha",field,caught,RA Jadeja,S Dhawan,caught|bowled
MG Johnson,MG Johnson,2014-01-17,England,England in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",bat,caught,RS Bopara,JC Buttler,lbw
MG Johnson,MG Johnson,2014-01-24,England,England in Australia ODI Series,,Western Australia Cricket Association Ground,field,bowled,BA Stokes,,
MG Johnson,MG Johnson,2014-08-25,Zimbabwe,Zimbabwe Triangular Series,,Harare Sports Club,field,Not Out,,,caught
MG Johnson,MG Johnson,2014-08-27,South Africa,Zimbabwe Triangular Series,,Harare Sports Club,field,Not Out,,,
MG Johnson,MG Johnson,2014-09-02,South Africa,Zimbabwe Triangular Series,,Harare Sports Club,field,run out,,,bowled|bowled
MG Johnson,MG Johnson,2014-09-06,South Africa,Zimbabwe Triangular Series,Final,Harare Sports Club,field,caught,M Morkel,AM Phangiso,caught
MG Johnson,MG Johnson,2014-10-07,Pakistan,Pakistan v Australia ODI Series,,Sharjah Cricket Stadium,bat,bowled,Wahab Riaz,,caught|caught|caught
MG Johnson,MG Johnson,2014-10-10,Pakistan,Pakistan v Australia ODI Series,,Dubai International Cricket Stadium,bat,,,,caught|caught|caught
MG Johnson,MG Johnson,2014-11-14,South Africa,South Africa in Australia ODI Series,,Western Australia Cricket Association Ground,field,Not Out,,,caught|caught
MG Johnson,MG Johnson,2014-11-16,South Africa,South Africa in Australia ODI Series,,Western Australia Cricket Association Ground,bat,caught,M Morkel,Q de Kock,caught
MG Johnson,MG Johnson,2015-02-01,England,Carlton Mid One-Day International Tri-Series,Final,Western Australia Cricket Association Ground,field,caught,ST Finn,EJG Morgan,caught|caught|bowled
MG Johnson,MG Johnson,2015-02-14,England,ICC Cricket World Cup,,Melbourne Cricket Ground,field,caught,ST Finn,JM Anderson,caught
MG Johnson,MG Johnson,2015-02-28,New Zealand,ICC Cricket World Cup,,Eden Park,bat,caught,TA Boult,KS Williamson,
MG Johnson,MG Johnson,2015-03-08,Sri Lanka,ICC Cricket World Cup,,Sydney Cricket Ground,bat,Not Out,,,caught|caught
MG Johnson,MG Johnson,2015-03-14,Scotland,ICC Cricket World Cup,,Bellerive Oval,field,,,,caught
MG Johnson,MG Johnson,2015-03-20,Pakistan,ICC Cricket World Cup,Quarter Final,Adelaide Oval,bat,,,,caught
MG Johnson,MG Johnson,2015-03-26,India,ICC Cricket World Cup,Semi Final,Sydney Cricket Ground,bat,Not Out,,,caught|bowled
MG Johnson,MG Johnson,2015-03-29,New Zealand,ICC Cricket World Cup,Final,Melbourne Cricket Ground,bat,,,,bowled|caught
MH Cross,MH Cross,2014-01-23,Canada,ICC Cricket World Cup Qualifier,,Hagley Oval,field,caught,Khurram Chohan,Raza-ur-Rehman,
MH Cross,MH Cross,2014-01-30,Kenya,ICC Cricket World Cup Qualifier,,Hagley Oval,bat,lbw,SO Ngoche,,
MH Cross,MH Cross,2014-05-09,England,Bilateral Series,,Mannofield Park,field,bowled,JM Anderson,,
MH Cross,MH Cross,2014-09-08,Ireland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,caught,MC Sorensen,SW Poynter,
MH Cross,MH Cross,2014-09-10,Ireland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,lbw,MC Sorensen,,
MH Cross,MH Cross,2014-09-12,Ireland,Scotland in Ireland ODI Series,,"The Village, Malahide",field,caught,CA Young,MC Sorensen,
MH Cross,MH Cross,2015-01-12,Ireland,Dubai Triangular Series,,Dubai International Cricket Stadium,field,run out,,,
MH Cross,MH Cross,2015-02-17,New Zealand,ICC Cricket World Cup,,University Oval,field,caught,CJ Anderson,L Ronchi,
MH Cross,MH Cross,2015-02-23,England,ICC Cricket World Cup,,Hagley Oval,field,caught,ST Finn,JE Root,
MH Cross,MH Cross,2015-03-05,Bangladesh,ICC Cricket World Cup,,Saxton Oval,field,caught,Taskin Ahmed,Sabbir Rahman,
MH Cross,MH Cross,2015-03-11,Sri Lanka,ICC Cricket World Cup,,Bellerive Oval,bat,caught,PVD Chameera,KC Sangakkara,
MH Cross,MH Cross,2015-03-14,Australia,ICC Cricket World Cup,,Bellerive Oval,field,caught,PJ Cummins,BJ Haddin,
MH Cross,MH Cross,2016-09-08,Hong Kong,Hong Kong in Scotland ODI Series,,"Grange Cricket Club Ground, Raeburn Place",field,bowled,Nadeem Ahmed,,
MH Cross,MH Cross,2016-09-10,Hong Kong,Hong Kong in Scotland ODI Series,,"Grange Cricket Club Ground, Raeburn Place",bat,caught,Nadeem Ahmed,C Carter,
MH Cross,MH Cross,2017-01-22,Hong Kong,United Arab Emirates Tri-Nation Series,,Sheikh Zayed Stadium,field,caught,Nizakat Khan,Tanveer Ahmed,
MH Cross,MH Cross,2017-01-24,United Arab Emirates,United Arab Emirates Tri-Nation Series,,Dubai International Cricket Stadium,bat,bowled,Rohan Mustafa,,
MH Cross,MH Cross,2017-06-15,Zimbabwe,Zimbabwe in Scotland ODI Series,,"Grange Cricket Club Ground, Raeburn Place",bat,bowled,R Ngarava,,
MH Cross,MH Cross,2017-06-17,Zimbabwe,Zimbabwe in Scotland ODI Series,,"Grange Cricket Club Ground, Raeburn Place",bat,bowled,SC Williams,,
MH Cross,MH Cross,2018-01-16,Ireland,United Arab Emirates Tri-Nation Series,,ICC Academy,field,caught,WB Rankin,GC Wilson,
MH Cross,MH Cross,2018-01-18,Ireland,United Arab Emirates Tri-Nation Series,,ICC Academy,bat,caught and bowled,,,
MH Cross,MH Cross,2018-01-21,United Arab Emirates,United Arab Emirates Tri-Nation Series,,ICC Academy,field,Not Out,,,
MH Cross,MH Cross,2018-01-23,United Arab Emirates,United Arab Emirates Tri-Nation Series,,ICC Academy,bat,caught and bowled,,,
MH Cross,MH Cross,2018-03-06,Hong Kong,ICC Cricket World Cup Qualifier (ICC Trophy),,Bulawayo Athletic Club,field,bowled,Ehsan Nawaz,,
MH Cross,MH Cross,2018-03-12,Zimbabwe,ICC Cricket World Cup Qualifier (ICC Trophy),,Queens Sports Club,bat,caught,TS Chisoro,SC Williams,
MH Cross,MH Cross,2018-03-15,United Arab Emirates,ICC Cricket World Cup Qualifier (ICC Trophy),,Queens Sports Club,bat,bowled,Rohan Mustafa,,
MH Cross,MH Cross,2018-03-18,Ireland,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,caught,TJ Murtagh,GC Wilson,
MH Cross,MH Cross,2018-03-21,West Indies,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,bowled,JO Holder,,
MH Cross,MH Cross,2019-05-21,Sri Lanka,Sri Lanka tour of England and Scotland,,"Grange Cricket Club, Raeburn Place",field,caught,RAS Lakmal,WIA Fernando,
MH Cross,MH Cross,2019-08-15,Oman,ICC Men's Cricket World Cup League 2,,Mannofield Park,bat,caught,Aamir Kaleem,Sandeep Goud,
MH Cross,MH Cross,2019-08-17,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Mannofield Park,field,bowled,N Pokana,,
MH Cross,MH Cross,2019-08-18,Oman,ICC Men's Cricket World Cup League 2,,Mannofield Park,field,bowled,AV Lalcheta,,
MH Cross,MH Cross,2019-08-20,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Mannofield Park,field,caught,N Pokana,G Toka,
MH Cross,MH Cross,2019-12-09,United States of America,ICC Men's Cricket World Cup League 2,,Sharjah Cricket Stadium,bat,caught,SN Netravalkar,IG Holland,
MH Cross,MH Cross,2019-12-14,United States of America,ICC Men's Cricket World Cup League 2,,ICC Academy,field,caught,SN Netravalkar,Akshay Homraj,
MH Cross,MH Cross,2019-12-15,United Arab Emirates,ICC Men's Cricket World Cup League 2,,ICC Academy,field,bowled,Ahmed Raza,,
MH Cross,MH Cross,2021-05-19,Netherlands,Scotland tour of Netherlands,,"Hazelaarweg, Rotterdam",bat,caught,VJ Kingma,PM Seelaar,
MH Cross,MH Cross,2021-05-20,Netherlands,Scotland tour of Netherlands,,"Hazelaarweg, Rotterdam",bat,caught,VJ Kingma,SA Edwards,
MH Cross,MH Cross,2021-09-25,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),field,stumped,A Vala,,
MH Cross,MH Cross,2021-09-28,Oman,ICC Men's Cricket World Cup League 2,,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),bat,lbw,Kaleemullah,,
MH Cross,MH Cross,2021-09-29,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),bat,bowled,KV Morea,,
MH Cross,MH Cross,2021-10-02,Oman,ICC Men's Cricket World Cup League 2,,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),bat,lbw,Kaleemullah,,
MH Cross,MH Cross,2022-04-09,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Dubai International Cricket Stadium,field,lbw,CA Soper,,
MH Cross,MH Cross,2022-04-10,Oman,ICC Men's Cricket World Cup League 2,,Dubai International Cricket Stadium,bat,bowled,Ayan Khan,,
MH Cross,MH Cross,2022-04-13,Papua New Guinea,ICC Men's Cricket World Cup League 2,,Dubai International Cricket Stadium,bat,lbw,N Vanua,,
MH Cross,MH Cross,2022-04-15,Oman,ICC Men's Cricket World Cup League 2,,Dubai International Cricket Stadium,bat,bowled,Kaleemullah,,
MH Cross,MH Cross,2022-05-28,United States of America,ICC Men's Cricket World Cup League 2,,"Choice Moosa Stadium, Pearland",bat,caught,SN Netravalkar,SR Mukkamalla,
MH Cross,MH Cross,2022-05-29,United States of America,ICC Men's Cricket World Cup League 2,,"Choice Moosa Stadium, Pearland",bat,run out,,,
MH Cross,MH Cross,2022-05-31,United Arab Emirates,ICC Men's Cricket World Cup League 2,,"Moosa Cricket Stadium, Pearland",bat,bowled,Junaid Siddique,,
MH Cross,MH Cross,2022-06-03,United Arab Emirates,ICC Men's Cricket World Cup League 2,,"Moosa Cricket Stadium, Pearland",bat,bowled,Kashif Daud,,
MH Cross,MH Cross,2022-07-13,Nepal,ICC Men's Cricket World Cup League 2,,"Titwood, Glasgow",field,caught,Sompal Kami,Aasif Sheikh,
MH Cross,MH Cross,2022-07-14,Namibia,ICC Men's Cricket World Cup League 2,,"Titwood, Glasgow",field,caught,B Shikongo,JN Frylinck,
MH Cross,MH Cross,2022-07-31,New Zealand,New Zealand tour of Scotland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",bat,caught,DJ Mitchell,D Cleaver,
MH Cross,MH Cross,2022-08-10,United Arab Emirates,ICC Men's Cricket World Cup League 2,,"Mannofield Park, Aberdeen",bat,caught,Basil Hameed,Sabir Ali,
MH Cross,MH Cross,2022-08-13,United States of America,ICC Men's Cricket World Cup League 2,,"Mannofield Park, Aberdeen",field,caught,NP Kenjige,IG Holland,
MH Cross,MH Cross,2022-08-14,United Arab Emirates,ICC Men's Cricket World Cup League 2,,"Mannofield Park, Aberdeen",field,bowled,Rohan Mustafa,,
MH Cross,MH Cross,2022-08-17,United States of America,ICC Men's Cricket World Cup League 2,,"Mannofield Park, Aberdeen",field,lbw,IG Holland,,
MH Cross,MH Cross,2022-12-01,Namibia,ICC Men's Cricket World Cup League 2,,"United Cricket Club Ground, Windhoek",field,bowled,BM Scholtz,,
MH Cross,MH Cross,2022-12-04,Nepal,ICC Men's Cricket World Cup League 2,,"United Cricket Club Ground, Windhoek",field,lbw,LN Rajbanshi,,
MH Cross,MH Cross,2022-12-05,Namibia,ICC Men's Cricket World Cup League 2,,"United Cricket Club Ground, Windhoek",field,bowled,HN Ya France,,
