Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
R McLaren,R McLaren,2013-07-26,Sri Lanka,South Africa in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,bat,Not Out,,,caught
R McLaren,R McLaren,2013-07-31,Sri Lanka,South Africa in Sri Lanka ODI Series,,R Premadasa Stadium,bat,caught,BAW Mendis,AD Mathews,bowled
R McLaren,R McLaren,2013-10-30,Pakistan,Pakistan v South Africa ODI Series,,Sharjah Cricket Stadium,bat,caught and bowled,,,
R McLaren,R McLaren,2013-11-01,Pakistan,Pakistan v South Africa ODI Series,,Dubai International Cricket Stadium,bat,Not Out,,,bowled|caught|caught|lbw
R McLaren,R McLaren,2013-11-06,Pakistan,Pakistan v South Africa ODI Series,,Sheikh Zayed Stadium,bat,lbw,Mohammad Irfan,,lbw|caught
R McLaren,R McLaren,2013-11-08,Pakistan,Pakistan v South Africa ODI Series,,Sheikh Zayed Stadium,bat,Not Out,,,bowled
R McLaren,R McLaren,2013-11-11,Pakistan,Pakistan v South Africa ODI Series,,Sharjah Cricket Stadium,bat,caught,Saeed Ajmal,Junaid Khan,caught|caught
R McLaren,R McLaren,2013-11-27,Pakistan,Pakistan in South Africa ODI Series,,St George's Park,field,Not Out,,,caught
R McLaren,R McLaren,2013-11-30,Pakistan,Pakistan in South Africa ODI Series,,SuperSport Park,field,bowled,Saeed Ajmal,,caught
R McLaren,R McLaren,2013-12-05,India,India in South Africa ODI Series,,New Wanderers Stadium,field,,,,caught|bowled|caught
R McLaren,R McLaren,2013-12-08,India,India in South Africa ODI Series,,Kingsmead,field,Not Out,,,
R McLaren,R McLaren,2013-12-11,India,India in South Africa ODI Series,,SuperSport Park,bat,caught,I Sharma,UT Yadav,
R McLaren,R McLaren,2014-07-06,Sri Lanka,South Africa in Sri Lanka ODI Series,,R Premadasa Stadium,bat,Not Out,,,bowled|caught
R McLaren,R McLaren,2014-07-09,Sri Lanka,South Africa in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,bat,caught,SMSM Senanayake,KMDN Kulasekara,caught|caught|caught|caught
R McLaren,R McLaren,2014-07-12,Sri Lanka,South Africa in Sri Lanka ODI Series,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",bat,Not Out,,,caught|caught|caught
R McLaren,R McLaren,2014-08-17,Zimbabwe,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,,,,caught
R McLaren,R McLaren,2014-08-19,Zimbabwe,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,caught,BV Vitori,E Chigumbura,bowled|caught|caught
R McLaren,R McLaren,2014-08-21,Zimbabwe,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,,,,caught
R McLaren,R McLaren,2014-08-27,Australia,Zimbabwe Triangular Series,,Harare Sports Club,field,,,,caught|bowled
R McLaren,R McLaren,2014-08-29,Zimbabwe,Zimbabwe Triangular Series,,Harare Sports Club,field,bowled,J Nyumbu,,caught|caught|caught
R McLaren,R McLaren,2014-09-02,Australia,Zimbabwe Triangular Series,,Harare Sports Club,field,caught,KW Richardson,SPD Smith,caught
R McLaren,R McLaren,2014-10-21,New Zealand,South Africa in New Zealand ODI Series,,Bay Oval,field,,,,caught|caught
R McLaren,R McLaren,2014-11-14,Australia,South Africa in Australia ODI Series,,Western Australia Cricket Association Ground,field,caught,NM Coulter-Nile,MS Wade,
R McLaren,R McLaren,2014-11-21,Australia,South Africa in Australia ODI Series,,Melbourne Cricket Ground,bat,caught,MA Starc,MS Wade,caught
R McLaren,R McLaren,2014-11-23,Australia,South Africa in Australia ODI Series,,Sydney Cricket Ground,bat,Not Out,,,
R Mutumbami,R Mutumbami,2014-08-17,South Africa,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,caught,R McLaren,Q de Kock,
R Mutumbami,R Mutumbami,2014-08-19,South Africa,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,lbw,AM Phangiso,,
R Mutumbami,R Mutumbami,2014-08-21,South Africa,South Africa in Zimbabwe ODI Series,,Queens Sports Club,field,caught,M de Lange,RR Rossouw,
R Mutumbami,R Mutumbami,2014-08-25,Australia,Zimbabwe Triangular Series,,Harare Sports Club,field,lbw,NM Lyon,,
R Mutumbami,R Mutumbami,2015-05-26,Pakistan,Zimbabwe in Pakistan ODI Series,,Gaddafi Stadium,bat,Not Out,,,
R Mutumbami,R Mutumbami,2015-05-29,Pakistan,Zimbabwe in Pakistan ODI Series,,Gaddafi Stadium,field,caught,Anwar Ali,Asad Shafiq,
R Mutumbami,R Mutumbami,2015-07-10,India,India in Zimbabwe ODI Series,,Harare Sports Club,field,caught,STR Binny,Harbhajan Singh,
R Mutumbami,R Mutumbami,2015-07-12,India,India in Zimbabwe ODI Series,,Harare Sports Club,field,caught,STR Binny,AR Patel,
R Mutumbami,R Mutumbami,2015-07-14,India,India in Zimbabwe ODI Series,,Harare Sports Club,field,lbw,STR Binny,,
R Mutumbami,R Mutumbami,2015-10-01,Pakistan,Pakistan in Zimbabwe ODI Series,,Harare Sports Club,field,caught,Yasir Shah,Mohammad Hafeez,
R Mutumbami,R Mutumbami,2015-10-03,Pakistan,Pakistan in Zimbabwe ODI Series,,Harare Sports Club,field,Not Out,,,
R Mutumbami,R Mutumbami,2015-10-05,Pakistan,Pakistan in Zimbabwe ODI Series,,Harare Sports Club,field,caught,Mohammad Irfan,Sarfraz Ahmed,
R Mutumbami,R Mutumbami,2015-10-09,Ireland,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,caught,JF Mooney,AR McBrine,
R Mutumbami,R Mutumbami,2015-10-11,Ireland,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,caught,TJ Murtagh,WTS Porterfield,
